Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (AUD/MWh)
New South Wales,AUS,2018-12-31 14:00:00,2019-01-01 00:00:00,68.20191700000001
New South Wales,AUS,2018-12-31 15:00:00,2019-01-01 01:00:00,71.47786833333333
New South Wales,AUS,2018-12-31 16:00:00,2019-01-01 02:00:00,65.966705
New South Wales,AUS,2018-12-31 17:00:00,2019-01-01 03:00:00,56.84046333333333
New South Wales,AUS,2018-12-31 18:00:00,2019-01-01 04:00:00,52.36082583333334
New South Wales,AUS,2018-12-31 19:00:00,2019-01-01 05:00:00,48.30046333333333
New South Wales,AUS,2018-12-31 20:00:00,2019-01-01 06:00:00,49.49124583333333
New South Wales,AUS,2018-12-31 21:00:00,2019-01-01 07:00:00,50.090849999999996
New South Wales,AUS,2018-12-31 22:00:00,2019-01-01 08:00:00,50.295005
New South Wales,AUS,2018-12-31 23:00:00,2019-01-01 09:00:00,60.025934166666666
New South Wales,AUS,2019-01-01 00:00:00,2019-01-01 10:00:00,66.831765
New South Wales,AUS,2019-01-01 01:00:00,2019-01-01 11:00:00,81.4290225
New South Wales,AUS,2019-01-01 02:00:00,2019-01-01 12:00:00,91.8675
New South Wales,AUS,2019-01-01 03:00:00,2019-01-01 13:00:00,94.98775083333334
New South Wales,AUS,2019-01-01 04:00:00,2019-01-01 14:00:00,94.90232916666668
New South Wales,AUS,2019-01-01 05:00:00,2019-01-01 15:00:00,98.04962166666667
New South Wales,AUS,2019-01-01 06:00:00,2019-01-01 16:00:00,97.2224425
New South Wales,AUS,2019-01-01 07:00:00,2019-01-01 17:00:00,101.420135
New South Wales,AUS,2019-01-01 08:00:00,2019-01-01 18:00:00,129.9348675
New South Wales,AUS,2019-01-01 09:00:00,2019-01-01 19:00:00,107.5359775
New South Wales,AUS,2019-01-01 10:00:00,2019-01-01 20:00:00,101.64349166666666
New South Wales,AUS,2019-01-01 11:00:00,2019-01-01 21:00:00,82.72948166666667
New South Wales,AUS,2019-01-01 12:00:00,2019-01-01 22:00:00,90.6370075
New South Wales,AUS,2019-01-01 13:00:00,2019-01-01 23:00:00,75.34790916666667
New South Wales,AUS,2019-01-01 14:00:00,2019-01-02 00:00:00,69.73481416666667
New South Wales,AUS,2019-01-01 15:00:00,2019-01-02 01:00:00,53.57442416666667
New South Wales,AUS,2019-01-01 16:00:00,2019-01-02 02:00:00,51.04989333333333
New South Wales,AUS,2019-01-01 17:00:00,2019-01-02 03:00:00,60.656280833333334
New South Wales,AUS,2019-01-01 18:00:00,2019-01-02 04:00:00,64.93565666666667
New South Wales,AUS,2019-01-01 19:00:00,2019-01-02 05:00:00,76.31843166666667
New South Wales,AUS,2019-01-01 20:00:00,2019-01-02 06:00:00,91.91582
New South Wales,AUS,2019-01-01 21:00:00,2019-01-02 07:00:00,98.2259825
New South Wales,AUS,2019-01-01 22:00:00,2019-01-02 08:00:00,92.850635
New South Wales,AUS,2019-01-01 23:00:00,2019-01-02 09:00:00,92.38182833333333
New South Wales,AUS,2019-01-02 00:00:00,2019-01-02 10:00:00,103.57074583333333
New South Wales,AUS,2019-01-02 01:00:00,2019-01-02 11:00:00,109.32097833333334
New South Wales,AUS,2019-01-02 02:00:00,2019-01-02 12:00:00,149.0338675
New South Wales,AUS,2019-01-02 03:00:00,2019-01-02 13:00:00,112.98424
New South Wales,AUS,2019-01-02 04:00:00,2019-01-02 14:00:00,114.29800583333333
New South Wales,AUS,2019-01-02 05:00:00,2019-01-02 15:00:00,92.82761749999999
New South Wales,AUS,2019-01-02 06:00:00,2019-01-02 16:00:00,106.26888916666667
New South Wales,AUS,2019-01-02 07:00:00,2019-01-02 17:00:00,112.32981166666667
New South Wales,AUS,2019-01-02 08:00:00,2019-01-02 18:00:00,111.2493775
New South Wales,AUS,2019-01-02 09:00:00,2019-01-02 19:00:00,94.97806333333334
New South Wales,AUS,2019-01-02 10:00:00,2019-01-02 20:00:00,96.10357583333332
New South Wales,AUS,2019-01-02 11:00:00,2019-01-02 21:00:00,88.45966083333333
New South Wales,AUS,2019-01-02 12:00:00,2019-01-02 22:00:00,80.51459416666667
New South Wales,AUS,2019-01-02 13:00:00,2019-01-02 23:00:00,83.20410666666668
New South Wales,AUS,2019-01-02 14:00:00,2019-01-03 00:00:00,72.65381583333333
New South Wales,AUS,2019-01-02 15:00:00,2019-01-03 01:00:00,71.15150333333334
New South Wales,AUS,2019-01-02 16:00:00,2019-01-03 02:00:00,67.246205
New South Wales,AUS,2019-01-02 17:00:00,2019-01-03 03:00:00,63.008766666666666
New South Wales,AUS,2019-01-02 18:00:00,2019-01-03 04:00:00,66.94414333333333
New South Wales,AUS,2019-01-02 19:00:00,2019-01-03 05:00:00,73.89281749999999
New South Wales,AUS,2019-01-02 20:00:00,2019-01-03 06:00:00,82.63944166666667
New South Wales,AUS,2019-01-02 21:00:00,2019-01-03 07:00:00,80.66405583333334
New South Wales,AUS,2019-01-02 22:00:00,2019-01-03 08:00:00,91.67551166666668
New South Wales,AUS,2019-01-02 23:00:00,2019-01-03 09:00:00,96.797125
New South Wales,AUS,2019-01-03 00:00:00,2019-01-03 10:00:00,109.99507249999999
New South Wales,AUS,2019-01-03 01:00:00,2019-01-03 11:00:00,110.59752416666667
New South Wales,AUS,2019-01-03 02:00:00,2019-01-03 12:00:00,91.18338
New South Wales,AUS,2019-01-03 03:00:00,2019-01-03 13:00:00,97.74227833333333
New South Wales,AUS,2019-01-03 04:00:00,2019-01-03 14:00:00,117.01863166666665
New South Wales,AUS,2019-01-03 05:00:00,2019-01-03 15:00:00,125.34381583333334
New South Wales,AUS,2019-01-03 06:00:00,2019-01-03 16:00:00,124.36924749999999
New South Wales,AUS,2019-01-03 07:00:00,2019-01-03 17:00:00,119.4957425
New South Wales,AUS,2019-01-03 08:00:00,2019-01-03 18:00:00,106.46568583333334
New South Wales,AUS,2019-01-03 09:00:00,2019-01-03 19:00:00,141.98986083333332
New South Wales,AUS,2019-01-03 10:00:00,2019-01-03 20:00:00,91.59364583333333
New South Wales,AUS,2019-01-03 11:00:00,2019-01-03 21:00:00,84.81295833333333
New South Wales,AUS,2019-01-03 12:00:00,2019-01-03 22:00:00,91.53428583333334
New South Wales,AUS,2019-01-03 13:00:00,2019-01-03 23:00:00,80.46224166666667
New South Wales,AUS,2019-01-03 14:00:00,2019-01-04 00:00:00,71.96090666666667
New South Wales,AUS,2019-01-03 15:00:00,2019-01-04 01:00:00,58.856967499999996
New South Wales,AUS,2019-01-03 16:00:00,2019-01-04 02:00:00,54.39525583333333
New South Wales,AUS,2019-01-03 17:00:00,2019-01-04 03:00:00,49.29707166666666
New South Wales,AUS,2019-01-03 18:00:00,2019-01-04 04:00:00,46.283145
New South Wales,AUS,2019-01-03 19:00:00,2019-01-04 05:00:00,63.68372
New South Wales,AUS,2019-01-03 20:00:00,2019-01-04 06:00:00,88.36741333333333
New South Wales,AUS,2019-01-03 21:00:00,2019-01-04 07:00:00,87.2987375
New South Wales,AUS,2019-01-03 22:00:00,2019-01-04 08:00:00,92.24170333333332
New South Wales,AUS,2019-01-03 23:00:00,2019-01-04 09:00:00,107.00925916666667
New South Wales,AUS,2019-01-04 00:00:00,2019-01-04 10:00:00,108.00957249999999
New South Wales,AUS,2019-01-04 01:00:00,2019-01-04 11:00:00,153.16892666666666
New South Wales,AUS,2019-01-04 02:00:00,2019-01-04 12:00:00,203.77804583333332
New South Wales,AUS,2019-01-04 03:00:00,2019-01-04 13:00:00,122.99661833333333
New South Wales,AUS,2019-01-04 04:00:00,2019-01-04 14:00:00,228.0537975
New South Wales,AUS,2019-01-04 05:00:00,2019-01-04 15:00:00,129.75265
New South Wales,AUS,2019-01-04 06:00:00,2019-01-04 16:00:00,115.2397375
New South Wales,AUS,2019-01-04 07:00:00,2019-01-04 17:00:00,109.64193
New South Wales,AUS,2019-01-04 08:00:00,2019-01-04 18:00:00,115.31657
New South Wales,AUS,2019-01-04 09:00:00,2019-01-04 19:00:00,113.29807
New South Wales,AUS,2019-01-04 10:00:00,2019-01-04 20:00:00,105.657145
New South Wales,AUS,2019-01-04 11:00:00,2019-01-04 21:00:00,95.80969833333334
New South Wales,AUS,2019-01-04 12:00:00,2019-01-04 22:00:00,93.64519916666666
New South Wales,AUS,2019-01-04 13:00:00,2019-01-04 23:00:00,93.89715916666667
New South Wales,AUS,2019-01-04 14:00:00,2019-01-05 00:00:00,78.25110166666667
New South Wales,AUS,2019-01-04 15:00:00,2019-01-05 01:00:00,68.44523666666667
New South Wales,AUS,2019-01-04 16:00:00,2019-01-05 02:00:00,70.46160166666667
New South Wales,AUS,2019-01-04 17:00:00,2019-01-05 03:00:00,71.21667666666666
New South Wales,AUS,2019-01-04 18:00:00,2019-01-05 04:00:00,69.2591475
New South Wales,AUS,2019-01-04 19:00:00,2019-01-05 05:00:00,74.09039750000001
New South Wales,AUS,2019-01-04 20:00:00,2019-01-05 06:00:00,76.29329916666667
New South Wales,AUS,2019-01-04 21:00:00,2019-01-05 07:00:00,108.81480666666666
New South Wales,AUS,2019-01-04 22:00:00,2019-01-05 08:00:00,118.72434
New South Wales,AUS,2019-01-04 23:00:00,2019-01-05 09:00:00,119.85648416666668
New South Wales,AUS,2019-01-05 00:00:00,2019-01-05 10:00:00,137.2728975
New South Wales,AUS,2019-01-05 01:00:00,2019-01-05 11:00:00,112.11744916666667
New South Wales,AUS,2019-01-05 02:00:00,2019-01-05 12:00:00,115.73423833333334
New South Wales,AUS,2019-01-05 03:00:00,2019-01-05 13:00:00,100.54596666666667
New South Wales,AUS,2019-01-05 04:00:00,2019-01-05 14:00:00,91.71826750000001
New South Wales,AUS,2019-01-05 05:00:00,2019-01-05 15:00:00,104.96086416666667
New South Wales,AUS,2019-01-05 06:00:00,2019-01-05 16:00:00,92.76050333333335
New South Wales,AUS,2019-01-05 07:00:00,2019-01-05 17:00:00,87.27401833333333
New South Wales,AUS,2019-01-05 08:00:00,2019-01-05 18:00:00,95.653165
New South Wales,AUS,2019-01-05 09:00:00,2019-01-05 19:00:00,100.02713666666666
New South Wales,AUS,2019-01-05 10:00:00,2019-01-05 20:00:00,91.78588833333333
New South Wales,AUS,2019-01-05 11:00:00,2019-01-05 21:00:00,80.39872666666666
New South Wales,AUS,2019-01-05 12:00:00,2019-01-05 22:00:00,87.48009333333333
New South Wales,AUS,2019-01-05 13:00:00,2019-01-05 23:00:00,85.57923333333333
New South Wales,AUS,2019-01-05 14:00:00,2019-01-06 00:00:00,72.24494750000001
New South Wales,AUS,2019-01-05 15:00:00,2019-01-06 01:00:00,73.06692249999999
New South Wales,AUS,2019-01-05 16:00:00,2019-01-06 02:00:00,64.97241749999999
New South Wales,AUS,2019-01-05 17:00:00,2019-01-06 03:00:00,67.39884583333334
New South Wales,AUS,2019-01-05 18:00:00,2019-01-06 04:00:00,69.09914833333333
New South Wales,AUS,2019-01-05 19:00:00,2019-01-06 05:00:00,64.37668416666666
New South Wales,AUS,2019-01-05 20:00:00,2019-01-06 06:00:00,64.4716175
New South Wales,AUS,2019-01-05 21:00:00,2019-01-06 07:00:00,60.5601725
New South Wales,AUS,2019-01-05 22:00:00,2019-01-06 08:00:00,54.689654166666664
New South Wales,AUS,2019-01-05 23:00:00,2019-01-06 09:00:00,60.3447625
New South Wales,AUS,2019-01-06 00:00:00,2019-01-06 10:00:00,59.15754166666667
New South Wales,AUS,2019-01-06 01:00:00,2019-01-06 11:00:00,60.23358666666667
New South Wales,AUS,2019-01-06 02:00:00,2019-01-06 12:00:00,60.95773083333333
New South Wales,AUS,2019-01-06 03:00:00,2019-01-06 13:00:00,62.355961666666666
New South Wales,AUS,2019-01-06 04:00:00,2019-01-06 14:00:00,63.552150833333336
New South Wales,AUS,2019-01-06 05:00:00,2019-01-06 15:00:00,62.70962666666667
New South Wales,AUS,2019-01-06 06:00:00,2019-01-06 16:00:00,64.21454166666668
New South Wales,AUS,2019-01-06 07:00:00,2019-01-06 17:00:00,65.04030999999999
New South Wales,AUS,2019-01-06 08:00:00,2019-01-06 18:00:00,67.7546225
New South Wales,AUS,2019-01-06 09:00:00,2019-01-06 19:00:00,70.2461125
New South Wales,AUS,2019-01-06 10:00:00,2019-01-06 20:00:00,73.21866416666667
New South Wales,AUS,2019-01-06 11:00:00,2019-01-06 21:00:00,61.2647575
New South Wales,AUS,2019-01-06 12:00:00,2019-01-06 22:00:00,64.81499833333334
New South Wales,AUS,2019-01-06 13:00:00,2019-01-06 23:00:00,69.8965175
New South Wales,AUS,2019-01-06 14:00:00,2019-01-07 00:00:00,63.46736416666667
New South Wales,AUS,2019-01-06 15:00:00,2019-01-07 01:00:00,51.889154999999995
New South Wales,AUS,2019-01-06 16:00:00,2019-01-07 02:00:00,54.2390025
New South Wales,AUS,2019-01-06 17:00:00,2019-01-07 03:00:00,58.824585000000006
New South Wales,AUS,2019-01-06 18:00:00,2019-01-07 04:00:00,70.13442833333333
New South Wales,AUS,2019-01-06 19:00:00,2019-01-07 05:00:00,78.88043083333334
New South Wales,AUS,2019-01-06 20:00:00,2019-01-07 06:00:00,70.8341775
New South Wales,AUS,2019-01-06 21:00:00,2019-01-07 07:00:00,63.32149166666667
New South Wales,AUS,2019-01-06 22:00:00,2019-01-07 08:00:00,67.60966916666666
New South Wales,AUS,2019-01-06 23:00:00,2019-01-07 09:00:00,62.19833416666666
New South Wales,AUS,2019-01-07 00:00:00,2019-01-07 10:00:00,64.72688583333333
New South Wales,AUS,2019-01-07 01:00:00,2019-01-07 11:00:00,68.66445499999999
New South Wales,AUS,2019-01-07 02:00:00,2019-01-07 12:00:00,78.42300666666667
New South Wales,AUS,2019-01-07 03:00:00,2019-01-07 13:00:00,80.47718083333334
New South Wales,AUS,2019-01-07 04:00:00,2019-01-07 14:00:00,76.60759666666667
