Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (AUD/MWh)
Queensland,AUS,2018-12-31 14:00:00,2019-01-01 00:00:00,64.58358799999999
Queensland,AUS,2018-12-31 15:00:00,2019-01-01 01:00:00,66.54486416666667
Queensland,AUS,2018-12-31 16:00:00,2019-01-01 02:00:00,61.14017416666667
Queensland,AUS,2018-12-31 17:00:00,2019-01-01 03:00:00,52.88314916666667
Queensland,AUS,2018-12-31 18:00:00,2019-01-01 04:00:00,49.50557916666667
Queensland,AUS,2018-12-31 19:00:00,2019-01-01 05:00:00,45.55176583333333
Queensland,AUS,2018-12-31 20:00:00,2019-01-01 06:00:00,46.03758916666666
Queensland,AUS,2018-12-31 21:00:00,2019-01-01 07:00:00,44.83730666666667
Queensland,AUS,2018-12-31 22:00:00,2019-01-01 08:00:00,43.56984666666667
Queensland,AUS,2018-12-31 23:00:00,2019-01-01 09:00:00,51.775325
Queensland,AUS,2019-01-01 00:00:00,2019-01-01 10:00:00,57.230889999999995
Queensland,AUS,2019-01-01 01:00:00,2019-01-01 11:00:00,62.91509833333333
Queensland,AUS,2019-01-01 02:00:00,2019-01-01 12:00:00,66.78899583333333
Queensland,AUS,2019-01-01 03:00:00,2019-01-01 13:00:00,70.92540916666667
Queensland,AUS,2019-01-01 04:00:00,2019-01-01 14:00:00,80.7597025
Queensland,AUS,2019-01-01 05:00:00,2019-01-01 15:00:00,88.73770083333334
Queensland,AUS,2019-01-01 06:00:00,2019-01-01 16:00:00,92.26699666666667
Queensland,AUS,2019-01-01 07:00:00,2019-01-01 17:00:00,101.75389333333334
Queensland,AUS,2019-01-01 08:00:00,2019-01-01 18:00:00,132.13122166666668
Queensland,AUS,2019-01-01 09:00:00,2019-01-01 19:00:00,109.79141499999999
Queensland,AUS,2019-01-01 10:00:00,2019-01-01 20:00:00,102.342475
Queensland,AUS,2019-01-01 11:00:00,2019-01-01 21:00:00,80.93320333333334
Queensland,AUS,2019-01-01 12:00:00,2019-01-01 22:00:00,89.41356666666667
Queensland,AUS,2019-01-01 13:00:00,2019-01-01 23:00:00,72.42085333333334
Queensland,AUS,2019-01-01 14:00:00,2019-01-02 00:00:00,65.3326025
Queensland,AUS,2019-01-01 15:00:00,2019-01-02 01:00:00,50.60811916666666
Queensland,AUS,2019-01-01 16:00:00,2019-01-02 02:00:00,47.759009999999996
Queensland,AUS,2019-01-01 17:00:00,2019-01-02 03:00:00,56.79539583333334
Queensland,AUS,2019-01-01 18:00:00,2019-01-02 04:00:00,60.832190833333335
Queensland,AUS,2019-01-01 19:00:00,2019-01-02 05:00:00,69.07563666666667
Queensland,AUS,2019-01-01 20:00:00,2019-01-02 06:00:00,83.14501333333334
Queensland,AUS,2019-01-01 21:00:00,2019-01-02 07:00:00,82.82704416666667
Queensland,AUS,2019-01-01 22:00:00,2019-01-02 08:00:00,79.47258
Queensland,AUS,2019-01-01 23:00:00,2019-01-02 09:00:00,79.401545
Queensland,AUS,2019-01-02 00:00:00,2019-01-02 10:00:00,85.80113
Queensland,AUS,2019-01-02 01:00:00,2019-01-02 11:00:00,93.20398666666667
Queensland,AUS,2019-01-02 02:00:00,2019-01-02 12:00:00,93.24996833333334
Queensland,AUS,2019-01-02 03:00:00,2019-01-02 13:00:00,94.94590166666667
Queensland,AUS,2019-01-02 04:00:00,2019-01-02 14:00:00,100.33259083333333
Queensland,AUS,2019-01-02 05:00:00,2019-01-02 15:00:00,85.86275083333334
Queensland,AUS,2019-01-02 06:00:00,2019-01-02 16:00:00,101.92966416666667
Queensland,AUS,2019-01-02 07:00:00,2019-01-02 17:00:00,108.20947583333333
Queensland,AUS,2019-01-02 08:00:00,2019-01-02 18:00:00,108.00053750000001
Queensland,AUS,2019-01-02 09:00:00,2019-01-02 19:00:00,95.4965725
Queensland,AUS,2019-01-02 10:00:00,2019-01-02 20:00:00,94.37189916666667
Queensland,AUS,2019-01-02 11:00:00,2019-01-02 21:00:00,85.46978
Queensland,AUS,2019-01-02 12:00:00,2019-01-02 22:00:00,80.02654833333334
Queensland,AUS,2019-01-02 13:00:00,2019-01-02 23:00:00,80.24906333333332
Queensland,AUS,2019-01-02 14:00:00,2019-01-03 00:00:00,69.03255166666666
Queensland,AUS,2019-01-02 15:00:00,2019-01-03 01:00:00,66.38181833333333
Queensland,AUS,2019-01-02 16:00:00,2019-01-03 02:00:00,62.043175
Queensland,AUS,2019-01-02 17:00:00,2019-01-03 03:00:00,58.72607583333333
Queensland,AUS,2019-01-02 18:00:00,2019-01-03 04:00:00,63.22358166666667
Queensland,AUS,2019-01-02 19:00:00,2019-01-03 05:00:00,68.55978083333333
Queensland,AUS,2019-01-02 20:00:00,2019-01-03 06:00:00,76.14847833333333
Queensland,AUS,2019-01-02 21:00:00,2019-01-03 07:00:00,71.91215833333334
Queensland,AUS,2019-01-02 22:00:00,2019-01-03 08:00:00,79.82902916666667
Queensland,AUS,2019-01-02 23:00:00,2019-01-03 09:00:00,86.25174333333332
Queensland,AUS,2019-01-03 00:00:00,2019-01-03 10:00:00,96.7382425
Queensland,AUS,2019-01-03 01:00:00,2019-01-03 11:00:00,98.0559275
Queensland,AUS,2019-01-03 02:00:00,2019-01-03 12:00:00,81.544695
Queensland,AUS,2019-01-03 03:00:00,2019-01-03 13:00:00,88.27665
Queensland,AUS,2019-01-03 04:00:00,2019-01-03 14:00:00,106.24672833333334
Queensland,AUS,2019-01-03 05:00:00,2019-01-03 15:00:00,116.04728166666666
Queensland,AUS,2019-01-03 06:00:00,2019-01-03 16:00:00,116.9018425
Queensland,AUS,2019-01-03 07:00:00,2019-01-03 17:00:00,118.8427
Queensland,AUS,2019-01-03 08:00:00,2019-01-03 18:00:00,112.6608625
Queensland,AUS,2019-01-03 09:00:00,2019-01-03 19:00:00,147.42430166666665
Queensland,AUS,2019-01-03 10:00:00,2019-01-03 20:00:00,95.40327166666667
Queensland,AUS,2019-01-03 11:00:00,2019-01-03 21:00:00,86.08645583333333
Queensland,AUS,2019-01-03 12:00:00,2019-01-03 22:00:00,94.14991666666667
Queensland,AUS,2019-01-03 13:00:00,2019-01-03 23:00:00,80.8686325
Queensland,AUS,2019-01-03 14:00:00,2019-01-04 00:00:00,69.85501083333334
Queensland,AUS,2019-01-03 15:00:00,2019-01-04 01:00:00,56.704125833333336
Queensland,AUS,2019-01-03 16:00:00,2019-01-04 02:00:00,52.35570083333334
Queensland,AUS,2019-01-03 17:00:00,2019-01-04 03:00:00,48.03073833333334
Queensland,AUS,2019-01-03 18:00:00,2019-01-04 04:00:00,44.59282416666667
Queensland,AUS,2019-01-03 19:00:00,2019-01-04 05:00:00,59.89827
Queensland,AUS,2019-01-03 20:00:00,2019-01-04 06:00:00,80.22057583333333
Queensland,AUS,2019-01-03 21:00:00,2019-01-04 07:00:00,76.21980583333334
Queensland,AUS,2019-01-03 22:00:00,2019-01-04 08:00:00,78.71326583333332
Queensland,AUS,2019-01-03 23:00:00,2019-01-04 09:00:00,89.339855
Queensland,AUS,2019-01-04 00:00:00,2019-01-04 10:00:00,86.17536416666667
Queensland,AUS,2019-01-04 01:00:00,2019-01-04 11:00:00,86.20569666666667
Queensland,AUS,2019-01-04 02:00:00,2019-01-04 12:00:00,99.26258583333333
Queensland,AUS,2019-01-04 03:00:00,2019-01-04 13:00:00,95.42832666666668
Queensland,AUS,2019-01-04 04:00:00,2019-01-04 14:00:00,132.2167075
Queensland,AUS,2019-01-04 05:00:00,2019-01-04 15:00:00,110.22851250000001
Queensland,AUS,2019-01-04 06:00:00,2019-01-04 16:00:00,105.240955
Queensland,AUS,2019-01-04 07:00:00,2019-01-04 17:00:00,105.18443916666666
Queensland,AUS,2019-01-04 08:00:00,2019-01-04 18:00:00,112.86969333333333
Queensland,AUS,2019-01-04 09:00:00,2019-01-04 19:00:00,110.04585083333332
Queensland,AUS,2019-01-04 10:00:00,2019-01-04 20:00:00,102.90450583333335
Queensland,AUS,2019-01-04 11:00:00,2019-01-04 21:00:00,92.28663083333333
Queensland,AUS,2019-01-04 12:00:00,2019-01-04 22:00:00,89.88189083333333
Queensland,AUS,2019-01-04 13:00:00,2019-01-04 23:00:00,85.304065
Queensland,AUS,2019-01-04 14:00:00,2019-01-05 00:00:00,71.72161166666667
Queensland,AUS,2019-01-04 15:00:00,2019-01-05 01:00:00,64.3227625
Queensland,AUS,2019-01-04 16:00:00,2019-01-05 02:00:00,65.18924833333334
Queensland,AUS,2019-01-04 17:00:00,2019-01-05 03:00:00,65.16418833333334
Queensland,AUS,2019-01-04 18:00:00,2019-01-05 04:00:00,63.54398750000001
Queensland,AUS,2019-01-04 19:00:00,2019-01-05 05:00:00,65.58578
Queensland,AUS,2019-01-04 20:00:00,2019-01-05 06:00:00,65.76779583333334
Queensland,AUS,2019-01-04 21:00:00,2019-01-05 07:00:00,70.26018333333333
Queensland,AUS,2019-01-04 22:00:00,2019-01-05 08:00:00,80.977515
Queensland,AUS,2019-01-04 23:00:00,2019-01-05 09:00:00,78.93583583333333
Queensland,AUS,2019-01-05 00:00:00,2019-01-05 10:00:00,68.88840833333333
Queensland,AUS,2019-01-05 01:00:00,2019-01-05 11:00:00,83.03092083333333
Queensland,AUS,2019-01-05 02:00:00,2019-01-05 12:00:00,83.41905666666666
Queensland,AUS,2019-01-05 03:00:00,2019-01-05 13:00:00,86.8639375
Queensland,AUS,2019-01-05 04:00:00,2019-01-05 14:00:00,83.21767916666667
Queensland,AUS,2019-01-05 05:00:00,2019-01-05 15:00:00,96.89250416666665
Queensland,AUS,2019-01-05 06:00:00,2019-01-05 16:00:00,89.07135
Queensland,AUS,2019-01-05 07:00:00,2019-01-05 17:00:00,86.62521833333334
Queensland,AUS,2019-01-05 08:00:00,2019-01-05 18:00:00,97.60850083333332
Queensland,AUS,2019-01-05 09:00:00,2019-01-05 19:00:00,102.75158749999999
Queensland,AUS,2019-01-05 10:00:00,2019-01-05 20:00:00,92.92637416666666
Queensland,AUS,2019-01-05 11:00:00,2019-01-05 21:00:00,78.43389666666667
Queensland,AUS,2019-01-05 12:00:00,2019-01-05 22:00:00,85.78828916666667
Queensland,AUS,2019-01-05 13:00:00,2019-01-05 23:00:00,82.56620333333333
Queensland,AUS,2019-01-05 14:00:00,2019-01-06 00:00:00,69.880035
Queensland,AUS,2019-01-05 15:00:00,2019-01-06 01:00:00,70.00149666666667
Queensland,AUS,2019-01-05 16:00:00,2019-01-06 02:00:00,62.46659333333334
Queensland,AUS,2019-01-05 17:00:00,2019-01-06 03:00:00,63.843695
Queensland,AUS,2019-01-05 18:00:00,2019-01-06 04:00:00,64.6389575
Queensland,AUS,2019-01-05 19:00:00,2019-01-06 05:00:00,60.300804166666666
Queensland,AUS,2019-01-05 20:00:00,2019-01-06 06:00:00,59.4756475
Queensland,AUS,2019-01-05 21:00:00,2019-01-06 07:00:00,54.35331666666667
Queensland,AUS,2019-01-05 22:00:00,2019-01-06 08:00:00,49.207011666666666
Queensland,AUS,2019-01-05 23:00:00,2019-01-06 09:00:00,54.42489666666666
Queensland,AUS,2019-01-06 00:00:00,2019-01-06 10:00:00,54.47714916666666
Queensland,AUS,2019-01-06 01:00:00,2019-01-06 11:00:00,55.948299166666665
Queensland,AUS,2019-01-06 02:00:00,2019-01-06 12:00:00,58.27194583333333
Queensland,AUS,2019-01-06 03:00:00,2019-01-06 13:00:00,61.378584999999994
Queensland,AUS,2019-01-06 04:00:00,2019-01-06 14:00:00,63.781820833333335
Queensland,AUS,2019-01-06 05:00:00,2019-01-06 15:00:00,65.16716416666667
Queensland,AUS,2019-01-06 06:00:00,2019-01-06 16:00:00,68.04921166666666
Queensland,AUS,2019-01-06 07:00:00,2019-01-06 17:00:00,74.8605125
Queensland,AUS,2019-01-06 08:00:00,2019-01-06 18:00:00,85.14584416666666
Queensland,AUS,2019-01-06 09:00:00,2019-01-06 19:00:00,83.06641333333333
Queensland,AUS,2019-01-06 10:00:00,2019-01-06 20:00:00,78.4352
Queensland,AUS,2019-01-06 11:00:00,2019-01-06 21:00:00,63.45058666666666
Queensland,AUS,2019-01-06 12:00:00,2019-01-06 22:00:00,66.96421583333334
Queensland,AUS,2019-01-06 13:00:00,2019-01-06 23:00:00,71.09457583333334
Queensland,AUS,2019-01-06 14:00:00,2019-01-07 00:00:00,63.25811083333334
Queensland,AUS,2019-01-06 15:00:00,2019-01-07 01:00:00,51.08374666666666
Queensland,AUS,2019-01-06 16:00:00,2019-01-07 02:00:00,53.12096583333334
Queensland,AUS,2019-01-06 17:00:00,2019-01-07 03:00:00,57.38474166666666
Queensland,AUS,2019-01-06 18:00:00,2019-01-07 04:00:00,67.33981333333334
Queensland,AUS,2019-01-06 19:00:00,2019-01-07 05:00:00,76.18059916666667
Queensland,AUS,2019-01-06 20:00:00,2019-01-07 06:00:00,70.26751333333333
Queensland,AUS,2019-01-06 21:00:00,2019-01-07 07:00:00,63.021768333333334
Queensland,AUS,2019-01-06 22:00:00,2019-01-07 08:00:00,66.5153475
Queensland,AUS,2019-01-06 23:00:00,2019-01-07 09:00:00,60.912551666666666
Queensland,AUS,2019-01-07 00:00:00,2019-01-07 10:00:00,62.596669999999996
Queensland,AUS,2019-01-07 01:00:00,2019-01-07 11:00:00,65.16644583333333
Queensland,AUS,2019-01-07 02:00:00,2019-01-07 12:00:00,75.25743916666666
Queensland,AUS,2019-01-07 03:00:00,2019-01-07 13:00:00,78.26523
Queensland,AUS,2019-01-07 04:00:00,2019-01-07 14:00:00,76.66427083333333
Queensland,AUS,2019-01-07 05:00:00,2019-01-07 15:00:00,82.55605583333333
Queensland,AUS,2019-01-07 06:00:00,2019-01-07 16:00:00,89.21576583333332
Queensland,AUS,2019-01-07 07:00:00,2019-01-07 17:00:00,78.2078425
Queensland,AUS,2019-01-07 08:00:00,2019-01-07 18:00:00,74.98374833333334
Queensland,AUS,2019-01-07 09:00:00,2019-01-07 19:00:00,85.50582000000001
Queensland,AUS,2019-01-07 10:00:00,2019-01-07 20:00:00,71.0030025
Queensland,AUS,2019-01-07 11:00:00,2019-01-07 21:00:00,66.446105
Queensland,AUS,2019-01-07 12:00:00,2019-01-07 22:00:00,74.95574416666666
Queensland,AUS,2019-01-07 13:00:00,2019-01-07 23:00:00,66.78368416666667
Queensland,AUS,2019-01-07 14:00:00,2019-01-08 00:00:00,64.11536083333333
