Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (AUD/MWh)
South Australia,AUS,2018-12-31 14:00:00,2019-01-01 00:00:00,76.782703
South Australia,AUS,2018-12-31 15:00:00,2019-01-01 01:00:00,77.56565416666666
South Australia,AUS,2018-12-31 16:00:00,2019-01-01 02:00:00,73.80066083333334
South Australia,AUS,2018-12-31 17:00:00,2019-01-01 03:00:00,60.49839166666666
South Australia,AUS,2018-12-31 18:00:00,2019-01-01 04:00:00,51.6315425
South Australia,AUS,2018-12-31 19:00:00,2019-01-01 05:00:00,47.574420833333335
South Australia,AUS,2018-12-31 20:00:00,2019-01-01 06:00:00,50.663270000000004
South Australia,AUS,2018-12-31 21:00:00,2019-01-01 07:00:00,48.38785083333334
South Australia,AUS,2018-12-31 22:00:00,2019-01-01 08:00:00,48.645700833333336
South Australia,AUS,2018-12-31 23:00:00,2019-01-01 09:00:00,58.87831583333334
South Australia,AUS,2019-01-01 00:00:00,2019-01-01 10:00:00,65.86593916666668
South Australia,AUS,2019-01-01 01:00:00,2019-01-01 11:00:00,78.5052025
South Australia,AUS,2019-01-01 02:00:00,2019-01-01 12:00:00,86.96154166666666
South Australia,AUS,2019-01-01 03:00:00,2019-01-01 13:00:00,91.91081000000001
South Australia,AUS,2019-01-01 04:00:00,2019-01-01 14:00:00,91.58714916666668
South Australia,AUS,2019-01-01 05:00:00,2019-01-01 15:00:00,98.05637166666666
South Australia,AUS,2019-01-01 06:00:00,2019-01-01 16:00:00,95.1967775
South Australia,AUS,2019-01-01 07:00:00,2019-01-01 17:00:00,95.49611333333333
South Australia,AUS,2019-01-01 08:00:00,2019-01-01 18:00:00,124.49334333333333
South Australia,AUS,2019-01-01 09:00:00,2019-01-01 19:00:00,107.77038750000001
South Australia,AUS,2019-01-01 10:00:00,2019-01-01 20:00:00,98.28884333333333
South Australia,AUS,2019-01-01 11:00:00,2019-01-01 21:00:00,80.00056833333333
South Australia,AUS,2019-01-01 12:00:00,2019-01-01 22:00:00,83.1923525
South Australia,AUS,2019-01-01 13:00:00,2019-01-01 23:00:00,77.14680916666667
South Australia,AUS,2019-01-01 14:00:00,2019-01-02 00:00:00,71.78182333333334
South Australia,AUS,2019-01-01 15:00:00,2019-01-02 01:00:00,49.94464583333333
South Australia,AUS,2019-01-01 16:00:00,2019-01-02 02:00:00,45.848510833333336
South Australia,AUS,2019-01-01 17:00:00,2019-01-02 03:00:00,55.80376166666667
South Australia,AUS,2019-01-01 18:00:00,2019-01-02 04:00:00,61.986204166666674
South Australia,AUS,2019-01-01 19:00:00,2019-01-02 05:00:00,76.42757666666667
South Australia,AUS,2019-01-01 20:00:00,2019-01-02 06:00:00,92.56272083333333
South Australia,AUS,2019-01-01 21:00:00,2019-01-02 07:00:00,98.82242583333334
South Australia,AUS,2019-01-01 22:00:00,2019-01-02 08:00:00,92.5077475
South Australia,AUS,2019-01-01 23:00:00,2019-01-02 09:00:00,92.10599500000001
South Australia,AUS,2019-01-02 00:00:00,2019-01-02 10:00:00,101.82702583333334
South Australia,AUS,2019-01-02 01:00:00,2019-01-02 11:00:00,105.64779833333334
South Australia,AUS,2019-01-02 02:00:00,2019-01-02 12:00:00,141.3358575
South Australia,AUS,2019-01-02 03:00:00,2019-01-02 13:00:00,101.76882166666667
South Australia,AUS,2019-01-02 04:00:00,2019-01-02 14:00:00,110.54825749999999
South Australia,AUS,2019-01-02 05:00:00,2019-01-02 15:00:00,97.223065
South Australia,AUS,2019-01-02 06:00:00,2019-01-02 16:00:00,121.87788416666666
South Australia,AUS,2019-01-02 07:00:00,2019-01-02 17:00:00,128.48119166666666
South Australia,AUS,2019-01-02 08:00:00,2019-01-02 18:00:00,125.05813416666666
South Australia,AUS,2019-01-02 09:00:00,2019-01-02 19:00:00,105.6091975
South Australia,AUS,2019-01-02 10:00:00,2019-01-02 20:00:00,98.7891325
South Australia,AUS,2019-01-02 11:00:00,2019-01-02 21:00:00,86.64540083333333
South Australia,AUS,2019-01-02 12:00:00,2019-01-02 22:00:00,73.91043583333332
South Australia,AUS,2019-01-02 13:00:00,2019-01-02 23:00:00,81.01881583333333
South Australia,AUS,2019-01-02 14:00:00,2019-01-03 00:00:00,72.1018275
South Australia,AUS,2019-01-02 15:00:00,2019-01-03 01:00:00,68.49566666666666
South Australia,AUS,2019-01-02 16:00:00,2019-01-03 02:00:00,63.78129583333333
South Australia,AUS,2019-01-02 17:00:00,2019-01-03 03:00:00,57.265345833333335
South Australia,AUS,2019-01-02 18:00:00,2019-01-03 04:00:00,57.67865166666667
South Australia,AUS,2019-01-02 19:00:00,2019-01-03 05:00:00,68.77118916666667
South Australia,AUS,2019-01-02 20:00:00,2019-01-03 06:00:00,79.23808416666667
South Australia,AUS,2019-01-02 21:00:00,2019-01-03 07:00:00,82.57799916666667
South Australia,AUS,2019-01-02 22:00:00,2019-01-03 08:00:00,99.99853
South Australia,AUS,2019-01-02 23:00:00,2019-01-03 09:00:00,106.44905666666666
South Australia,AUS,2019-01-03 00:00:00,2019-01-03 10:00:00,121.500425
South Australia,AUS,2019-01-03 01:00:00,2019-01-03 11:00:00,141.3405725
South Australia,AUS,2019-01-03 02:00:00,2019-01-03 12:00:00,154.76205083333335
South Australia,AUS,2019-01-03 03:00:00,2019-01-03 13:00:00,125.78235
South Australia,AUS,2019-01-03 04:00:00,2019-01-03 14:00:00,145.486225
South Australia,AUS,2019-01-03 05:00:00,2019-01-03 15:00:00,148.20058666666668
South Australia,AUS,2019-01-03 06:00:00,2019-01-03 16:00:00,172.62163083333334
South Australia,AUS,2019-01-03 07:00:00,2019-01-03 17:00:00,250.9058225
South Australia,AUS,2019-01-03 08:00:00,2019-01-03 18:00:00,361.03918666666664
South Australia,AUS,2019-01-03 09:00:00,2019-01-03 19:00:00,330.508255
South Australia,AUS,2019-01-03 10:00:00,2019-01-03 20:00:00,141.0135175
South Australia,AUS,2019-01-03 11:00:00,2019-01-03 21:00:00,123.75823666666668
South Australia,AUS,2019-01-03 12:00:00,2019-01-03 22:00:00,115.35451333333333
South Australia,AUS,2019-01-03 13:00:00,2019-01-03 23:00:00,211.67947333333333
South Australia,AUS,2019-01-03 14:00:00,2019-01-04 00:00:00,83.32137083333333
South Australia,AUS,2019-01-03 15:00:00,2019-01-04 01:00:00,63.005230000000005
South Australia,AUS,2019-01-03 16:00:00,2019-01-04 02:00:00,53.475503333333336
South Australia,AUS,2019-01-03 17:00:00,2019-01-04 03:00:00,41.00954333333333
South Australia,AUS,2019-01-03 18:00:00,2019-01-04 04:00:00,32.4881975
South Australia,AUS,2019-01-03 19:00:00,2019-01-04 05:00:00,57.111362500000006
South Australia,AUS,2019-01-03 20:00:00,2019-01-04 06:00:00,87.79957583333334
South Australia,AUS,2019-01-03 21:00:00,2019-01-04 07:00:00,91.10520666666667
South Australia,AUS,2019-01-03 22:00:00,2019-01-04 08:00:00,96.22418916666668
South Australia,AUS,2019-01-03 23:00:00,2019-01-04 09:00:00,102.41348333333333
South Australia,AUS,2019-01-04 00:00:00,2019-01-04 10:00:00,110.12833833333333
South Australia,AUS,2019-01-04 01:00:00,2019-01-04 11:00:00,160.80485583333333
South Australia,AUS,2019-01-04 02:00:00,2019-01-04 12:00:00,236.0905675
South Australia,AUS,2019-01-04 03:00:00,2019-01-04 13:00:00,123.82517666666666
South Australia,AUS,2019-01-04 04:00:00,2019-01-04 14:00:00,182.30836583333334
South Australia,AUS,2019-01-04 05:00:00,2019-01-04 15:00:00,105.60756416666668
South Australia,AUS,2019-01-04 06:00:00,2019-01-04 16:00:00,97.42472
South Australia,AUS,2019-01-04 07:00:00,2019-01-04 17:00:00,83.35114333333333
South Australia,AUS,2019-01-04 08:00:00,2019-01-04 18:00:00,88.18109833333334
South Australia,AUS,2019-01-04 09:00:00,2019-01-04 19:00:00,85.767205
South Australia,AUS,2019-01-04 10:00:00,2019-01-04 20:00:00,90.21223333333334
South Australia,AUS,2019-01-04 11:00:00,2019-01-04 21:00:00,88.091365
South Australia,AUS,2019-01-04 12:00:00,2019-01-04 22:00:00,85.99762666666668
South Australia,AUS,2019-01-04 13:00:00,2019-01-04 23:00:00,96.51433166666668
South Australia,AUS,2019-01-04 14:00:00,2019-01-05 00:00:00,85.8806725
South Australia,AUS,2019-01-04 15:00:00,2019-01-05 01:00:00,77.47503
South Australia,AUS,2019-01-04 16:00:00,2019-01-05 02:00:00,78.33592416666667
South Australia,AUS,2019-01-04 17:00:00,2019-01-05 03:00:00,77.10240166666667
South Australia,AUS,2019-01-04 18:00:00,2019-01-05 04:00:00,79.17530833333333
South Australia,AUS,2019-01-04 19:00:00,2019-01-05 05:00:00,86.7597725
South Australia,AUS,2019-01-04 20:00:00,2019-01-05 06:00:00,88.65867250000001
South Australia,AUS,2019-01-04 21:00:00,2019-01-05 07:00:00,125.04680583333334
South Australia,AUS,2019-01-04 22:00:00,2019-01-05 08:00:00,126.97500916666667
South Australia,AUS,2019-01-04 23:00:00,2019-01-05 09:00:00,113.73656416666667
South Australia,AUS,2019-01-05 00:00:00,2019-01-05 10:00:00,119.58954666666666
South Australia,AUS,2019-01-05 01:00:00,2019-01-05 11:00:00,87.05596916666667
