Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (USD/MWh)
CAISO SP15,USA,2024-01-01 07:00:00,2023-12-31 23:00:00,45.09781
CAISO SP15,USA,2024-01-01 08:00:00,2024-01-01 00:00:00,46.08
CAISO SP15,USA,2024-01-01 09:00:00,2024-01-01 01:00:00,45.32571
CAISO SP15,USA,2024-01-01 10:00:00,2024-01-01 02:00:00,44.91129
CAISO SP15,USA,2024-01-01 11:00:00,2024-01-01 03:00:00,44.56314
CAISO SP15,USA,2024-01-01 12:00:00,2024-01-01 04:00:00,44.17126
CAISO SP15,USA,2024-01-01 13:00:00,2024-01-01 05:00:00,42.61442
CAISO SP15,USA,2024-01-01 14:00:00,2024-01-01 06:00:00,44.46233
CAISO SP15,USA,2024-01-01 15:00:00,2024-01-01 07:00:00,45.23494
CAISO SP15,USA,2024-01-01 16:00:00,2024-01-01 08:00:00,36.39075
CAISO SP15,USA,2024-01-01 17:00:00,2024-01-01 09:00:00,28.78897
CAISO SP15,USA,2024-01-01 18:00:00,2024-01-01 10:00:00,26.44054
CAISO SP15,USA,2024-01-01 19:00:00,2024-01-01 11:00:00,22.84608
CAISO SP15,USA,2024-01-01 20:00:00,2024-01-01 12:00:00,22.66
CAISO SP15,USA,2024-01-01 21:00:00,2024-01-01 13:00:00,22.36894
CAISO SP15,USA,2024-01-01 22:00:00,2024-01-01 14:00:00,23.85693
CAISO SP15,USA,2024-01-01 23:00:00,2024-01-01 15:00:00,37.86516
CAISO SP15,USA,2024-01-02 00:00:00,2024-01-01 16:00:00,49.77848
CAISO SP15,USA,2024-01-02 01:00:00,2024-01-01 17:00:00,50.7194
CAISO SP15,USA,2024-01-02 02:00:00,2024-01-01 18:00:00,50.99369
CAISO SP15,USA,2024-01-02 03:00:00,2024-01-01 19:00:00,51.06365
CAISO SP15,USA,2024-01-02 04:00:00,2024-01-01 20:00:00,50.89036
CAISO SP15,USA,2024-01-02 05:00:00,2024-01-01 21:00:00,50.44555
CAISO SP15,USA,2024-01-02 06:00:00,2024-01-01 22:00:00,50.16388
CAISO SP15,USA,2024-01-02 07:00:00,2024-01-01 23:00:00,47.2974
CAISO SP15,USA,2024-01-02 08:00:00,2024-01-02 00:00:00,44.53664
CAISO SP15,USA,2024-01-02 09:00:00,2024-01-02 01:00:00,43.89359
CAISO SP15,USA,2024-01-02 10:00:00,2024-01-02 02:00:00,43.72221
